"","XSA","XCIP"," XSACIP","XSA","XCIP","XSA&CIP"
"y","1.033 *** (7e-04)","1.0175 *** (0.00275)","1.0435 *** (0.00470)","1.0364 *** (0.00090)","1.0354 *** (0.00385)","1.0714 *** (0.00675)"
"$\bar{z_j}$","0.6345 *** (0.00705)","1.2104 *** (0.04430)","0.838 *** (0.04970)","0.6236 *** (0.00705)","1.1268 *** (0.04165)","0.7503 *** (0.04510)"
"ln k","0.8673 *** (0.0088)","1.74 *** (0.05365)","1.2889 *** (0.06515)","0.879 *** (0.00895)","1.8614 *** (0.05785)","1.403 *** (0.07170)"
"ln w","2.2584 *** (0.0348)","0.9184 ** (0.04975)","2.584 *** (0.20975)","2.2607 *** (0.03485)","0.8943 *** (0.04840)","2.4957 *** (0.20290)"
"$N_R$","1.1073 *** (0.0164)","4.5944 *** (0.13670)","5.0941 *** (0.23390)","0.9855   (0.03235)","1.6518 *** (0.11140)","1.9236 *** (0.19885)"
"$N_{CIP}$","1.1813 *** (0.01605)","","","1.1686 *** (0.01595)","",""
"$N_{SA}$",NA,"1.183 *** (0.02300)","","","1.1706 *** (0.02270)",""
"$I_{2014+}$",NA,NA,NA,"0.8708 *** (0.02665)","0.7353 *** (0.04330)","0.6479 *** (0.06035)"
"$I_{R_{NA}}$",NA,NA,NA,"0.8721 *** (0.03400)","0.3784 *** (0.03255)","0.4495 *** (0.05905)"
"$I_{R_{EU}}$",NA,NA,NA,"0.8941 *** (0.03510)","0.1227 *** (0.01325)","0.1325 *** (0.02220)"
"$I_{R_{AA}}$",NA,NA,NA,"0.7247 *** (0.02970)","0.1884 *** (0.02100)","0.1302 *** (0.02465)"
"$I_{R_{NA}} \times I_{2014+}$",NA,NA,NA,"1.0632 *** (0.03830)","0.8598 ** (0.08035)","0.8419 * (0.11885)"
"$I_{R_{EU}} \times  I_{2014+}$",NA,NA,NA,"1.0314   (0.03780)","1.2275 ** (0.16760)","1.0393   (0.23190)"
"$I_{R_{AA}} \times  I_{2014+}$",NA,NA,NA,"1.1177 *** (0.04675)","0.6456 *** (0.11735)","0.7108 * (0.22600)"
"$\textit{N}$","602599","602599","396471","602599","602599","396471"
"Pseudo $R^2$","0.03657","0.12735","0.12162","0.03753","0.14919","0.14739"
